t  par1   acc
-4396 0.359267 0.229
-4395 0.359486 0.209
-4394 0.359649 0.215
-4393 0.359814 0.209
-4392 0.359995 0.194
-4391 0.360167 0.215
-4390 0.360363 0.205
-4389 0.360581 0.227
-4388 0.360717 0.187
-4387 0.360866 0.201
-4386 0.361036 0.185
-4385 0.361183 0.215
-4384 0.361367 0.225
-4383 0.361573 0.195
-4382 0.361718 0.2
-4381 0.361864 0.201
-4380 0.362135 0.239
-4379 0.362331 0.222
-4378 0.362495 0.191
-4377 0.362639 0.198
-4376 0.362798 0.237
-4375 0.362889 0.194
-4374 0.36309 0.217
-4373 0.363253 0.213
-4372 0.363428 0.204
-4371 0.363607 0.205
-4370 0.36383 0.206
-4369 0.363993 0.219
-4368 0.364166 0.187
-4367 0.364345 0.21
-4366 0.364578 0.215
-4365 0.364706 0.174
-4364 0.36488 0.204
-4363 0.365039 0.188
-4362 0.365234 0.176
-4361 0.365447 0.198
-4360 0.365591 0.184
-4359 0.365817 0.207
-4358 0.366051 0.221
-4357 0.366264 0.189
-4356 0.366419 0.21
-4355 0.366595 0.202
-4354 0.3668 0.188
-4353 0.366943 0.201
-4352 0.367125 0.202
-4351 0.367277 0.189
-4350 0.367392 0.176
-4349 0.367564 0.21
-4348 0.367746 0.207
-4347 0.367963 0.197
-4346 0.368152 0.198
-4345 0.368309 0.189
-4344 0.368558 0.176
-4343 0.368749 0.191
-4342 0.368931 0.21
-4341 0.369105 0.197
-4340 0.36925 0.204
-4339 0.369384 0.178
-4338 0.369557 0.189
-4337 0.369716 0.185
-4336 0.369918 0.229
-4335 0.370093 0.187
-4334 0.370317 0.189
-4333 0.370486 0.224
-4332 0.370675 0.202
-4331 0.370817 0.24
-4330 0.370977 0.197
-4329 0.371185 0.196
-4328 0.371311 0.217
-4327 0.371495 0.203
-4326 0.371693 0.21
-4325 0.371874 0.23
-4324 0.371996 0.158
-4323 0.372149 0.202
-4322 0.372349 0.187
-4321 0.372535 0.22
-4320 0.372655 0.174
-4319 0.372859 0.194
-4318 0.373063 0.2
-4317 0.373194 0.197
-4316 0.373337 0.191
-4315 0.373484 0.193
-4314 0.373643 0.204
-4313 0.373809 0.191
-4312 0.373978 0.205
-4311 0.374091 0.218
-4310 0.374188 0.19
-4309 0.374389 0.221
-4308 0.37455 0.2
-4307 0.374732 0.201
-4306 0.374913 0.195
-4305 0.375131 0.192
-4304 0.375315 0.194
-4303 0.375448 0.203
-4302 0.375599 0.186
-4301 0.375818 0.191
-4300 0.375967 0.182
-4299 0.37613 0.196
-4298 0.376289 0.194
-4297 0.376408 0.198
-4296 0.376631 0.18
-4295 0.37683 0.192
-4294 0.376963 0.168
-4293 0.377072 0.18
-4292 0.377145 0.194
-4291 0.377318 0.199
-4290 0.37747 0.202
-4289 0.377664 0.2
-4288 0.37783 0.201
-4287 0.378028 0.226
-4286 0.378197 0.196
-4285 0.378294 0.192
-4284 0.378415 0.191
-4283 0.378523 0.192
-4282 0.378669 0.182
-4281 0.378831 0.182
-4280 0.378969 0.19
-4279 0.379171 0.214
-4278 0.379414 0.202
-4277 0.379542 0.18
-4276 0.379686 0.183
-4275 0.379841 0.211
-4274 0.379967 0.182
-4273 0.380158 0.185
-4272 0.380371 0.187
-4271 0.380533 0.176
-4270 0.380692 0.174
-4269 0.38086 0.176
-4268 0.381043 0.208
-4267 0.381241 0.212
-4266 0.381409 0.203
-4265 0.381541 0.178
-4264 0.381657 0.188
-4263 0.381823 0.195
-4262 0.38194 0.199
-4261 0.382095 0.191
-4260 0.382251 0.188
-4259 0.382358 0.19
-4258 0.382522 0.199
-4257 0.382687 0.192
-4256 0.382814 0.203
-4255 0.382907 0.196
-4254 0.383043 0.185
-4253 0.383185 0.201
-4252 0.383361 0.201
-4251 0.383399 0.199
-4250 0.383551 0.203
-4249 0.383739 0.201
-4248 0.383874 0.201
-4247 0.384 0.202
-4246 0.384122 0.212
-4245 0.384209 0.203
-4244 0.384386 0.205
-4243 0.384537 0.203
-4242 0.38467 0.189
-4241 0.384843 0.208
-4240 0.385025 0.174
-4239 0.385182 0.171
-4238 0.385311 0.201
-4237 0.385445 0.204
-4236 0.385604 0.2
-4235 0.385795 0.209
-4234 0.38593 0.204
-4233 0.386014 0.183
-4232 0.386144 0.199
-4231 0.386299 0.184
-4230 0.386407 0.205
-4229 0.386582 0.195
-4228 0.386795 0.216
-4227 0.386926 0.164
-4226 0.387099 0.213
-4225 0.387292 0.22
-4224 0.387384 0.192
-4223 0.387495 0.205
-4222 0.387578 0.171
-4221 0.38769 0.194
-4220 0.387817 0.176
-4219 0.387968 0.187
-4218 0.388077 0.18
-4217 0.388217 0.173
-4216 0.388368 0.212
-4215 0.388453 0.193
-4214 0.38857 0.197
-4213 0.388747 0.199
-4212 0.388895 0.186
-4211 0.388993 0.197
-4210 0.389208 0.223
-4209 0.389372 0.181
-4208 0.389455 0.18
-4207 0.389526 0.192
-4206 0.389627 0.175
-4205 0.389861 0.176
-4204 0.390019 0.193
-4203 0.390099 0.186
-4202 0.390298 0.196
-4201 0.390439 0.182
-4200 0.390536 0.18
-4199 0.390637 0.206
-4198 0.390824 0.184
-4197 0.391016 0.211
-4196 0.391157 0.199
-4195 0.391325 0.176
-4194 0.391514 0.202
-4193 0.391653 0.184
-4192 0.391865 0.187
-4191 0.391983 0.207
-4190 0.39207 0.192
-4189 0.392176 0.185
-4188 0.392303 0.191
-4187 0.392396 0.196
-4186 0.392594 0.203
-4185 0.392755 0.193
-4184 0.392835 0.204
-4183 0.393035 0.212
-4182 0.39321 0.174
-4181 0.393262 0.171
-4180 0.393415 0.207
-4179 0.393564 0.197
-4178 0.393713 0.206
-4177 0.393848 0.182
-4176 0.393951 0.187
-4175 0.394096 0.199
-4174 0.394227 0.206
-4173 0.394369 0.211
-4172 0.39447 0.178
-4171 0.394612 0.191
